start	end	text
0	10000	.
10000	14000	.
14000	16000	.
16000	20000	.
20000	22000	.
22000	24000	.
24000	26000	.
26000	28000	.
28000	30000	.
30000	34000	Koans of the Way of Reality, Case 108.
36000	40000	The Great Pearls, Dana, Prologue.
40000	46000	Giving generously means non-greed, not withholding.
46000	52000	One phrase, one verse, the ten thousand things, the hundred grasses.
52000	60000	One Dharma, one realization, all Buddhas, all ancestors.
60000	66000	Since the beginningless beginning, there has never been a single thing to withhold.
66000	72000	When the Way is relinquished to the Way, the Way is realized.
72000	78000	When the Way is realized, the Way is manifested through itself.
78000	88000	When the self gives the self simply for the sake of giving, the whole universe gives of itself for the sake of giving.
88000	98000	The cause and effect of this purposeless giving prevails throughout the heavens and encompasses the earth.
98000	100000	How can this truth be realized?
100000	102000	How can this truth be realized?
102000	104000	Listen to this old teaching.
104000	106000	The main case.
106000	112000	A monk asked the Great Pearl.
112000	116000	By what means can the gateway of our school be entered?
116000	122000	By means of Dhanaparamita, the Great Pearl said.
122000	130000	According to the Buddha, the Bodhisattva path comprises six Paramitas.
130000	136000	Why then have you mentioned only one?
136000	138000	The Great Pearl said.
138000	146000	Deluded people fail to understand that the other five all proceed from Dhanaparamita.
146000	152000	And that by its practice, all the others are fulfilled.
152000	158000	The monk said, why is it called Dhanaparamita?
158000	162000	The teacher said, Dhanaparamita means relinquishment.
162000	166000	The monk asked, relinquishment of what?
166000	171000	The teacher answered, relinquishment of dualism of opposites.
171000	186000	It means total relinquishment of ideas as to the dual nature of good and bad, being and non-being, love and aversion, void and non-void, concentration and distraction, pure and impure.
186000	194000	By giving all of them up, we attain to a state in which all opposites are seen as empty.
194000	199000	The capping, capping verse.
199000	203000	You may understand it, but in vain.
203000	206000	You may believe it, but it's to no avail.
206000	213000	You may describe it, but it still remains a description.
213000	216000	Ultimately, how is it?
216000	222000	The river doesn't understand, yet it knows how to give itself to the great ocean.
222000	227000	The mountain has no words, yet it gives birth to the ten thousand things.
227000	234000	It is here that the sweet innocence of Dhanaparamita is revealed.
234000	251000	As most of you, as I look around the room, I realize that most of you have been here for the weekend, so you were part of the whole Dhanaparamita thing yesterday.
251000	270000	But there are also some that weren't here, so some of what I did as opening remarks to the Dhanaparamita, or the Perfection of Giving weekend, I'd like to repeat so that it's clear to everyone.
270000	282000	Dhana, we translate, for those of you that are new to the term, as giving.
282000	285000	Although giving doesn't quite reach it.
285000	290000	It's more than just something going from A to B.
290000	296000	It's the same as in the transmission of the Dharma.
296000	308000	We call it Dhanaparamita, and paramita means the practice of perfection, or crossing over to the other shore.
308000	313000	And these paramitas are part of Mahayana Buddhism.
313000	328000	And in Zen, we understand the crossing over to the other shore as either the other shore and this shore are the same, or rather the other shore arrives.
328000	341000	So, Dhanaparamita is understood loosely as the perfection of giving.
341000	351000	And as all of you must have realized yesterday in the process of doing that weekend,
351000	360000	that the teachers of this weekend were really the people that arrived on the buses.
360000	376000	You'd have to be totally blind and without any sensibility at all not to have received an incredible amount of teaching from our guests the weekend.
376000	381000	And that's at the heart of what Dhana is about.
381000	386000	There can be no Dhana unless there is both giving and receiving occurring simultaneously.
386000	388000	That's the heart of Dhana.
388000	390000	It goes both ways.
390000	393000	It must go both ways.
393000	401000	There can be no Dhana unless the giver and the receiver are unified, or become one reality in the process.
401000	405000	So, therefore, Dhana is not charity.
405000	407000	It's not generosity.
407000	420000	It's not almsgiving, or donation, or beneficence, or benevolence, or benefaction, or contribution, gift, philanthropy, offering.
420000	424000	Dhana is the practice of total relinquishment.
424000	425000	Relinquishment.
425000	430000	And that's what the great pearl was talking about.
430000	432000	Total relinquishment.
432000	433000	Letting go.
433000	436000	Not holding on to anything.
436000	439000	All the dualities must dissolve.
439000	449000	And needless to say, when all the dualities dissolve, each of those paramitas, each of the six paramitas are there.
449000	461000	Dhana, or giving, or the perfection of giving, is found throughout the Mahayana literature.
461000	463000	It appears in the precepts.
463000	468000	For example, be generous, do not be withholding.
468000	470000	That's Dhana.
470000	477000	It appears in the eight awarenesses of an enlightened person, the 52 aspects of a bodhisattva.
477000	482000	It appears in the paramitas.
482000	491000	It appears as part of the morality, the three basic teachings of the Buddha, one of which was morality.
491000	498000	So it's obviously considered by Buddhists to be one of the most important virtues.
498000	501000	It is the characteristic of a bodhisattva.
501000	506000	It's the life of a bodhisattva.
506000	511000	And in the prologue it says, giving generously means non-greed.
511000	515000	And if you really look at greed, you realize that greed is exactly the opposite.
515000	518000	Greed is about holding on.
518000	529000	And dhana is about letting go, not withholding, not holding back.
529000	535000	And then the prologue says, one phrase, one verse, ten thousand things, the hundred grasses,
535000	541000	one dharma, one realization, all Buddhas, all ancestors, since the beginning.
541000	546000	There has never been a single thing to withhold.
546000	550000	So that's the ultimate truth that underlies the whole thing.
550000	555000	We may proceed through the world with an illusion of separateness,
555000	559000	with the illusion that the self and other are separate things.
559000	564000	But the fact is, there is no separation to begin with.
564000	570000	That's why we call dharma, the ten thousand things, purity itself.
570000	572000	There's nothing extraneous.
572000	574000	There's no outside.
574000	578000	It's all unified, whether we've realized it or not.
578000	585000	If we haven't realized it and we proceed on the assumption that there's a self and other separation,
585000	588000	then we run into all kinds of difficulties.
588000	591000	That's what the pain and suffering of this life is about.
591000	593000	That's what we call samsara.
593000	598000	So, if you haven't realized it, although it's true,
598000	601000	you're not going in accord with that realization.
601000	607000	When you realize it or when you practice in accord with the truth of that unity,
607000	611000	then it's a whole different way of living your life.
611000	621000	There has never been a single thing to withhold.
621000	628000	Because each one of us, this very body and mind, your very body and mind,
628000	632000	is the body and mind of the universe.
632000	634000	Where would you hold it?
634000	636000	And who would you give it to?
636000	643000	And then the prologue says, when the way is relinquished to the way,
643000	649000	when you give the way to the way, the Tao, to the Tao,
649000	654000	the way is realized.
655000	659000	When the way is realized, the way is manifested through itself.
659000	665000	So, the way begins to manifest itself through itself when you've realized the way.
665000	667000	What does it mean to have realized the way?
667000	669000	It means to have unified with the way.
669000	674000	When you are the way itself, the way manifests through itself,
674000	678000	which is none other than manifesting through you.
681000	683000	And that's what the next line means.
683000	687000	When the self gives the self simply for the sake of giving,
687000	690000	the whole universe gives of itself for the sake of giving.
690000	693000	Again, that's about unification, no separation.
693000	697000	There's no reason for it.
697000	700000	There's no merit attached to it.
700000	705000	It's simply the way the universe is.
705000	712000	And so, the giving is simply for the sake of giving, for no other reason.
712000	719000	You can wash the dishes in order to have clean dishes.
719000	720000	That makes it functional.
720000	721000	There's a purpose.
721000	723000	There's a process.
723000	725000	And there's a result.
725000	728000	Or, you can wash the dishes to wash the dishes.
728000	733000	Just for the simple sake of washing the dishes.
733000	746000	So, the cause and effect of this purposeless giving prevails throughout the heaven and encompasses the earth.
746000	750000	That is, it is the nature of things.
750000	754000	Whether we've realized it for ourselves or not.
754000	761000	It's the nature of things.
761000	767000	So, this monk, in the main case, comes up to the great pearl.
767000	781000	And the great pearl is the successor of Matsu, the great master Basa, who had 84 enlightened disciples that he transmitted to.
781000	786000	Wei Hai is one of those disciples.
786000	796000	His name in Japanese is Daishu.
796000	798000	Daishu means great pearl.
798000	799000	Ikai.
803000	808000	He got the name great pearl because he first began studying with...
808000	811000	He was first ordained by another teacher.
811000	815000	And then went to study with Matsu and studied with him for a while.
815000	816000	And then the...
816000	819000	His first teacher became very ill.
819000	823000	And so, he left Matsu and went back to take care of his old teacher.
823000	829000	And while he was back there, he wrote a discourse.
829000	836000	And I'm trying to remember what that discourse was.
836000	842000	I guess it was a discourse on sudden elimination.
842000	852000	And a monk who was there took that treatise to Matsu.
852000	859000	And when Matsu read it, he said, there is a great pearl on that mountain.
